test_id,generations_config,pop_size,algorithm,generation,median_fitness,q1_fitness,q3_fitness,n_runs
1.2,200,100,eml_std,15,0.0,0.0,1.2499999999999999e-05,30
1.2,200,100,eml_std,16,0.0,0.0,1.2499999999999999e-05,30
1.2,200,100,eml_std,17,0.0,0.0,1.2499999999999999e-05,30
1.2,200,100,eml_std,18,0.0,0.0,1.2499999999999999e-05,30
1.2,200,100,eml_std,19,0.0,0.0,1.225e-05,30
1.2,200,100,eml_std,20,0.0,0.0,1.225e-05,30
1.2,200,100,eml_std,21,0.0,0.0,1.225e-05,30
1.2,200,100,eml_std,22,0.0,0.0,1.225e-05,30
1.2,200,100,eml_std,23,0.0,0.0,1.225e-05,30
1.2,200,100,eml_std,24,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,25,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,26,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,27,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,28,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,29,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,30,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,31,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,32,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,33,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,34,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,35,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,36,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,37,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,38,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,39,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,40,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,41,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,42,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,43,0.0,0.0,7.500000000000001e-06,30
1.2,200,100,eml_std,44,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,45,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,46,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,47,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,48,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,49,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,50,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,51,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,52,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,53,0.0,0.0,6.75e-06,30
1.2,200,100,eml_std,54,0.0,0.0,6.75e-06,30
